"Name","SizeMB","Samples"
"QQ","135.2","arks | blob_storage | Cache | Code Cache | Crashpad | Dictionaries"
"QQEX","1091.8","blob_storage | Cache | Code Cache | contentTracing | Crashpad | DawnGraphiteCache"
"Quark","0","Cache"
"realx","0","file_system"
"RedPandaIDE","0","autolink.json | bookmarks.json | codesnippets.json | debugger.json | history.json | lastopens.json"
"Reqable","1.1","backup | box | capture | certificate | config | icons"
"reqable-mcp","0.1","requests.db"
"shredder_pp","0","shredder_config.ini"
"skylot","0","jadx"
"smart-meeting","7.5","blob_storage | Cache | Code Cache | DawnGraphiteCache | DawnWebGPUCache | detection"
"sogou_voice_assistant_pc","8.7","blob_storage | Cache | Code Cache | Crashpad | DawnGraphiteCache | DawnWebGPUCache"
"tabx_pp","0","tabx_config.ini"
"TabXSearch","0",""
"tdcoresk","0","config"
"Tencent","6102.4","Androws | beacon | BeaconConfig | Config | DtConfig | File"
"TenioDL","15","vodcache"
"The Quark Authors","0","media_container | Quark"
"tjch","0","config.ini"
"Ultra Shredder","0","imageCache | config.ini | UltraShredder.log | usercenter.set | WebLocal.dat"
"ultra_pp","0","ultra_config.ini"
"Ultralytics","0","settings.json"
"utForpc","4.2","34385585 | 34901011 | storage"
"utForpc_tmp","0","MzQzODU1ODU="
"VideoOutput","0",""
"Visual Studio Setup","0","user.json"
"VMware","0","inventory.vmls | preferences.ini"
"VoiceAccess","0","CustomCommands | EditHistory | UserPhrases"
"VoipNNModel","0",""
"wboot_pp","0","wboot_config.ini"
"WeMeetApp","0",".nx_caches"
"WinAuthority","0.4","imageCache | log | auth.db | config.ini"
"windows.netpower.unzip","0","MyData.db"
"wmcleaner","0","icons"
"Wooduan","463.3","SSJJ-4399"
"write_pp","0","write_config.ini"
"WXDrive","0.7","crashDumps | logs | sqlite3 | wedrive_pref"
"ynote-desktop","773.1","adblock | blob_storage | Cache | Code Cache | Crashpad | databases"
"ZxVxTidy","0.1","config.ini | wxid_s5wg5zizd35a22.jpg | wxtouchhelper.log | wxuserv4.set"
